,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'0:0:43.8,6246,
'0:0:43.85,6261,
'0:0:43.9,6275,
'0:0:43.95,6282,
'0:0:44.0,6277,
'0:0:44.05,6265,
'0:0:44.1,6253,
'0:0:44.15,6243,
'0:0:44.2,6229,
'0:0:44.25,6211,
'0:0:44.3,6194,
'0:0:44.35,6183,
'0:0:44.4,6174,
'0:0:44.45,6165,
'0:0:44.5,6154,
'0:0:44.55,6142,
'0:0:44.6,6125,
'0:0:44.65,6111,
'0:0:44.7,6098,
'0:0:44.75,6087,
'0:0:44.8,6072,
'0:0:44.85,6059,
'0:0:44.9,6050,
'0:0:44.95,6044,
'0:0:45.0,6040,
'0:0:45.05,6035,
'0:0:45.1,6029,
'0:0:45.15,6024,
'0:0:45.2,6018,
'0:0:45.25,6015,
'0:0:45.3,6014,
'0:0:45.35,6011,
'0:0:45.4,6010,
'0:0:45.45,6011,
'0:0:45.5,6013,
'0:0:45.55,6014,
'0:0:45.6,6015,
'0:0:45.65,6014,
'0:0:45.7,6012,
'0:0:45.75,6009,
'0:0:45.8,6009,
'0:0:45.85,6010,
'0:0:45.9,6009,
'0:0:45.95,6008,
'0:0:46.0,6009,
'0:0:46.05,6010,
'0:0:46.1,6013,
'0:0:46.15,6017,
'0:0:46.2,6022,
'0:0:46.25,6027,
'0:0:46.3,6032,
'0:0:46.35,6037,
'0:0:46.4,6046,
'0:0:46.45,6055,
'0:0:46.5,6062,
'0:0:46.55,6068,
'0:0:46.6,6078,
'0:0:46.65,6092,
'0:0:46.7,6110,
'0:0:46.75,6127,
'0:0:46.8,6145,
'0:0:46.85,6161,
'0:0:46.9,6173,
'0:0:46.95,6182,
'0:0:47.0,6194,
'0:0:47.05,6206,
'0:0:47.1,6214,
'0:0:47.15,6221,
'0:0:47.2,6233,
'0:0:47.25,6246,
'0:0:47.3,6260,
'0:0:47.35,6265,
'0:0:47.4,6265,
'0:0:47.45,6257,
'0:0:47.5,6244,
'0:0:47.55,6235,
'0:0:47.6,6227,
'0:0:47.65,6217,
'0:0:47.7,6205,
'0:0:47.75,6195,
'0:0:47.8,6190,
'0:0:47.85,6188,
'0:0:47.9,6182,
'0:0:47.95,6172,
'0:0:48.0,6161,
'0:0:48.05,6147,
'0:0:48.1,6133,
'0:0:48.15,6121,
'0:0:48.2,6106,
'0:0:48.25,6091,
'0:0:48.3,6077,
'0:0:48.35,6068,
'0:0:48.4,6062,
'0:0:48.45,6057,
'0:0:48.5,6050,
'0:0:48.55,6044,
'0:0:48.6,6036,
'0:0:48.65,6028,
'0:0:48.7,6023,
'0:0:48.75,6019,
'0:0:48.8,6015,
'0:0:48.85,6013,
'0:0:48.9,6011,
'0:0:48.95,6011,
'0:0:49.0,6013,
'0:0:49.05,6014,
'0:0:49.1,6013,
'0:0:49.15,6011,
'0:0:49.2,6008,
'0:0:49.25,6007,
'0:0:49.3,6007,
'0:0:49.35,6007,
'0:0:49.4,6007,
'0:0:49.45,6008,
'0:0:49.5,6011,
'0:0:49.55,6015,
'0:0:49.6,6019,
'0:0:49.65,6024,
'0:0:49.7,6029,
'0:0:49.75,6033,
'0:0:49.8,6041,
'0:0:49.85,6053,
'0:0:49.9,6061,
'0:0:49.95,6065,
'0:0:50.0,6073,
'0:0:50.05,6086,
'0:0:50.1,6102,
'0:0:50.15,6117,
'0:0:50.2,6133,
'0:0:50.25,6148,
'0:0:50.3,6161,
'0:0:50.35,6170,
'0:0:50.4,6181,
'0:0:50.45,6192,
'0:0:50.5,6202,
'0:0:50.55,6211,
'0:0:50.6,6221,
'0:0:50.65,6236,
'0:0:50.7,6253,
'0:0:50.75,6263,
'0:0:50.8,6265,
'0:0:50.85,6258,
'0:0:50.9,6246,
'0:0:50.95,6234,
'0:0:51.0,6222,
'0:0:51.05,6210,
'0:0:51.1,6193,
'0:0:51.15,6178,
'0:0:51.2,6165,
'0:0:51.25,6155,
'0:0:51.3,6141,
'0:0:51.35,6129,
'0:0:51.4,6116,
'0:0:51.45,6099,
'0:0:51.5,6082,
'0:0:51.55,6070,
'0:0:51.6,6057,
'0:0:51.65,6044,
'0:0:51.7,6033,
'0:0:51.75,6026,
'0:0:51.8,6022,
'0:0:51.85,6020,
