,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:39.5,348,177
'0:0:39.55,334,163
'0:0:39.6,335,151
'0:0:39.65,350,143
'0:0:39.7,356,142
'0:0:39.75,363,134
'0:0:39.8,361,125
'0:0:39.85,351,116
'0:0:39.9,393,121
'0:0:39.95,431,140
'0:0:40.0,396,140
'0:0:40.05,362,143
'0:0:40.1,373,179
'0:0:40.15,405,216
'0:0:40.2,396,220
'0:0:40.25,362,207
'0:0:40.3,340,202
'0:0:40.35,332,208
'0:0:40.4,356,210
'0:0:40.45,388,200
'0:0:40.5,369,194
'0:0:40.55,350,207
'0:0:40.6,306,201
'0:0:40.65,241,164
'0:0:40.7,166,155
'0:0:40.75,179,157
'0:0:40.8,221,150
'0:0:40.85,273,143
'0:0:40.9,351,140
'0:0:40.95,407,137
'0:0:41.0,412,133
'0:0:41.05,400,131
'0:0:41.1,423,136
'0:0:41.15,478,153
'0:0:41.2,470,150
'0:0:41.25,444,140
'0:0:41.3,431,150
'0:0:41.35,412,151
'0:0:41.4,414,151
'0:0:41.45,429,161
'0:0:41.5,409,170
'0:0:41.55,374,183
'0:0:41.6,352,196
'0:0:41.65,350,204
'0:0:41.7,342,205
'0:0:41.75,339,203
'0:0:41.8,337,200
'0:0:41.85,292,176
'0:0:41.9,281,154
'0:0:41.95,324,164
'0:0:42.0,348,166
'0:0:42.05,340,147
'0:0:42.1,336,132
'0:0:42.15,347,126
'0:0:42.2,358,127
'0:0:42.25,360,131
'0:0:42.3,360,132
'0:0:42.35,357,132
'0:0:42.4,372,134
'0:0:42.45,412,145
'0:0:42.5,399,152
'0:0:42.55,363,153
'0:0:42.6,370,178
'0:0:42.65,389,199
'0:0:42.7,384,195
'0:0:42.75,366,194
'0:0:42.8,355,199
'0:0:42.85,348,212
'0:0:42.9,363,223
'0:0:42.95,389,226
'0:0:43.0,377,224
'0:0:43.05,360,224
'0:0:43.1,338,207
'0:0:43.15,314,175
'0:0:43.2,305,169
'0:0:43.25,305,167
'0:0:43.3,308,151
'0:0:43.35,313,143
'0:0:43.4,346,143
