,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'0:0:29.55,2530,
'0:0:29.6,2584,
'0:0:29.65,2628,
'0:0:29.7,2625,
'0:0:29.75,2646,
'0:0:29.8,2720,
'0:0:29.85,2763,
'0:0:29.9,2775,
'0:0:29.95,2778,
'0:0:30.0,2789,
'0:0:30.05,2814,
'0:0:30.1,2860,
'0:0:30.15,2904,
'0:0:30.2,2976,
'0:0:30.25,3025,
'0:0:30.3,3017,
'0:0:30.35,2990,
'0:0:30.4,2973,
'0:0:30.45,2985,
'0:0:30.5,3002,
'0:0:30.55,3031,
'0:0:30.6,3092,
'0:0:30.65,3116,
'0:0:30.7,3091,
'0:0:30.75,3069,
'0:0:30.8,3072,
'0:0:30.85,3098,
'0:0:30.9,3090,
'0:0:30.95,3001,
'0:0:31.0,2914,
'0:0:31.05,2897,
'0:0:31.1,2869,
'0:0:31.15,2817,
'0:0:31.2,2767,
'0:0:31.25,2750,
'0:0:31.3,2745,
'0:0:31.35,2690,
'0:0:31.4,2624,
'0:0:31.45,2637,
'0:0:31.5,2652,
'0:0:31.55,2615,
'0:0:31.6,2560,
'0:0:31.65,2524,
'0:0:31.7,2514,
'0:0:31.75,2501,
'0:0:31.8,2465,
'0:0:31.85,2467,
'0:0:31.9,2497,
'0:0:31.95,2496,
'0:0:32.0,2479,
'0:0:32.05,2486,
'0:0:32.1,2536,
'0:0:32.15,2597,
'0:0:32.2,2578,
'0:0:32.25,2459,
'0:0:32.3,2444,
'0:0:32.35,2518,
'0:0:32.4,2492,
'0:0:32.45,2421,
'0:0:32.5,2381,
'0:0:32.55,2380,
'0:0:32.6,2374,
'0:0:32.65,2373,
'0:0:32.7,2429,
'0:0:32.75,2492,
'0:0:32.8,2503,
'0:0:32.85,2501,
'0:0:32.9,2527,
'0:0:32.95,2561,
'0:0:33.0,2586,
'0:0:33.05,2590,
'0:0:33.1,2632,
'0:0:33.15,2688,
'0:0:33.2,2693,
'0:0:33.25,2670,
'0:0:33.3,2670,
'0:0:33.35,2688,
'0:0:33.4,2685,
'0:0:33.45,2699,
'0:0:33.5,2780,
'0:0:33.55,2823,
'0:0:33.6,2803,
'0:0:33.65,2803,
'0:0:33.7,2847,
'0:0:33.75,2914,
'0:0:33.8,2972,
'0:0:33.85,2979,
'0:0:33.9,3020,
'0:0:33.95,3074,
'0:0:34.0,3075,
'0:0:34.05,3061,
'0:0:34.1,3043,
'0:0:34.15,3004,
'0:0:34.2,2926,
'0:0:34.25,2814,
'0:0:34.3,2688,
'0:0:34.35,2698,
'0:0:34.4,2779,
'0:0:34.45,2747,
'0:0:34.5,2654,
'0:0:34.55,2603,
'0:0:34.6,2597,
'0:0:34.65,2577,
'0:0:34.7,2554,
'0:0:34.75,2594,
'0:0:34.8,2608,
'0:0:34.85,2553,
'0:0:34.9,2501,
'0:0:34.95,2491,
'0:0:35.0,2504,
'0:0:35.05,2502,
'0:0:35.1,2483,
'0:0:35.15,2532,
'0:0:35.2,2621,
'0:0:35.25,2608,
'0:0:35.3,2543,
'0:0:35.35,2521,
'0:0:35.4,2517,
'0:0:35.45,2505,
'0:0:35.5,2499,
'0:0:35.55,2511,
'0:0:35.6,2499,
'0:0:35.65,2453,
'0:0:35.7,2422,
'0:0:35.75,2419,
'0:0:35.8,2418,
'0:0:35.85,2408,
'0:0:35.9,2409,
'0:0:35.95,2472,
'0:0:36.0,2546,
'0:0:36.05,2520,
'0:0:36.1,2463,
'0:0:36.15,2458,
'0:0:36.2,2499,
'0:0:36.25,2540,
'0:0:36.3,2521,
'0:0:36.35,2533,
'0:0:36.4,2601,
'0:0:36.45,2630,
'0:0:36.5,2642,
'0:0:36.55,2666,
'0:0:36.6,2703,
'0:0:36.65,2715,
'0:0:36.7,2690,
'0:0:36.75,2724,
'0:0:36.8,2804,
'0:0:36.85,2813,
'0:0:36.9,2790,
'0:0:36.95,2796,
'0:0:37.0,2839,
'0:0:37.05,2889,
'0:0:37.1,2896,
'0:0:37.15,2891,
'0:0:37.2,2945,
'0:0:37.25,2990,
'0:0:37.3,2986,
'0:0:37.35,2960,
'0:0:37.4,2925,
'0:0:37.45,2874,
'0:0:37.5,2776,
'0:0:37.55,2734,
'0:0:37.6,2771,
'0:0:37.65,2750,
'0:0:37.7,2663,
'0:0:37.75,2616,
'0:0:37.8,2605,
'0:0:37.85,2602,
'0:0:37.9,2565,
'0:0:37.95,2514,
'0:0:38.0,2530,
'0:0:38.05,2558,
'0:0:38.1,2530,
'0:0:38.15,2483,
'0:0:38.2,2443,
'0:0:38.25,2433,
'0:0:38.3,2433,
'0:0:38.35,2431,
'0:0:38.4,2448,
